name,type,category,population
Afghanistan,1,Afghanistan,10752971
Afghanistan,1,Asia,2134153319
Afghanistan,2,Afghanistan,12486631
Afghanistan,2,Asia,2622847597
Afghanistan,3,Afghanistan,10694796
Afghanistan,3,Asia,3199868781
Afghanistan,4,Afghanistan,19542982
Afghanistan,4,Asia,3715546622
Afghanistan,5,Afghanistan,28189672
Afghanistan,5,Asia,4191851655
Afghanistan,6,Afghanistan,33753499
Afghanistan,6,Asia,4424496683
Afghanistan,7,Afghanistan,38972230
Afghanistan,7,Asia,4624114305
Albania,1,Albania,2324731
Albania,1,Europe,653599260
Albania,2,Albania,2941651
Albania,2,Europe,689585508
Albania,3,Albania,3295066
Albania,3,Europe,717025731
Albania,4,Albania,3182021
Albania,4,Europe,722911402
Albania,5,Albania,2913399
Albania,5,Europe,732700535
Albania,6,Albania,2882481
Albania,6,Europe,738653127
Albania,7,Albania,2866849
Albania,7,Europe,742925347
Algeria,1,Algeria,13795915
Algeria,1,Africa,351648433
Algeria,2,Algeria,18739378
Algeria,2,Africa,462796999
Algeria,3,Algeria,25518074
Algeria,3,Africa,612632555
Algeria,4,Algeria,30774621
Algeria,4,Africa,788171411
Algeria,5,Algeria,35856344
Algeria,5,Africa,1019371728
Algeria,6,Algeria,39543154
Algeria,6,Africa,1161559288
Algeria,7,Algeria,43451666
Algeria,7,Africa,1317220144
American Samoa,1,American Samoa,27075
American Samoa,1,Oceania,19453195
American Samoa,2,American Samoa,32886
American Samoa,2,Oceania,22887354
American Samoa,3,American Samoa,47818
American Samoa,3,Oceania,26696004
American Samoa,4,American Samoa,58230
American Samoa,4,Oceania,31164548
American Samoa,5,American Samoa,54849
American Samoa,5,Oceania,37047915
American Samoa,6,American Samoa,51368
American Samoa,6,Oceania,40351915
American Samoa,7,American Samoa,46189
American Samoa,7,Oceania,43887237
Andorra,1,Andorra,19860
Andorra,1,Europe,655904131
Andorra,2,Andorra,35611
Andorra,2,Europe,692491548
Andorra,3,Andorra,53569
Andorra,3,Europe,720267228
Andorra,4,Andorra,66097
Andorra,4,Europe,726027326
Andorra,5,Andorra,71519
Andorra,5,Europe,735542415
Andorra,6,Andorra,71746
Andorra,6,Europe,741463862
Andorra,7,Andorra,77700
Andorra,7,Europe,745714496
Angola,1,Angola,6029700
Angola,1,Africa,359414648
Angola,2,Angola,8330047
Angola,2,Africa,473206330
Angola,3,Angola,11828638
Angola,3,Africa,626321991
Angola,4,Angola,16394062
Angola,4,Africa,802551970
Angola,5,Angola,23364185
Angola,5,Africa,1031863887
Angola,6,Angola,28127721
Angola,6,Africa,1172974721
Angola,7,Angola,33428485
Angola,7,Africa,1327243325
Anguilla,1,Anguilla,6283
Anguilla,1,North America,315428323
