name,type,category,population
Afghanistan,1,Afghanistan,10752971
Afghanistan,1,World,3683383690
Afghanistan,2,Afghanistan,12486631
Afghanistan,2,World,4429913740
Afghanistan,3,Afghanistan,10694796
Afghanistan,3,World,5303496869
Afghanistan,4,Afghanistan,19542982
Afghanistan,4,World,6127512721
Afghanistan,5,Afghanistan,28189672
Afghanistan,5,World,6955595326
Afghanistan,6,Afghanistan,33753499
Afghanistan,6,World,7391056262
Afghanistan,7,Afghanistan,38972230
Afghanistan,7,World,7800278373
Albania,1,Albania,2324731
Albania,1,World,3691811930
Albania,2,Albania,2941651
Albania,2,World,4439458720
Albania,3,Albania,3295066
Albania,3,World,5310896599
Albania,4,Albania,3182021
Albania,4,World,6143873682
Albania,5,Albania,2913399
Albania,5,World,6980871599
Albania,6,Albania,2882481
Albania,6,World,7421927280
Albania,7,Albania,2866849
Albania,7,World,7836383754
Algeria,1,Algeria,13795915
Algeria,1,World,3680340746
Algeria,2,Algeria,18739378
Algeria,2,World,4423660993
Algeria,3,Algeria,25518074
Algeria,3,World,5288673591
Algeria,4,Algeria,30774621
Algeria,4,World,6116281082
Algeria,5,Algeria,35856344
Algeria,5,World,6947928654
Algeria,6,Algeria,39543154
Algeria,6,World,7385266607
Algeria,7,Algeria,43451666
Algeria,7,World,7795798937
American Samoa,1,American Samoa,27075
American Samoa,1,World,3694109586
American Samoa,2,American Samoa,32886
American Samoa,2,World,4442367485
American Samoa,3,American Samoa,47818
American Samoa,3,World,5314143847
American Samoa,4,American Samoa,58230
American Samoa,4,World,6146997473
American Samoa,5,American Samoa,54849
American Samoa,5,World,6983730149
American Samoa,6,American Samoa,51368
American Samoa,6,World,7424758393
American Samoa,7,American Samoa,46189
American Samoa,7,World,7839204414
Andorra,1,Andorra,19860
Andorra,1,World,3694116801
Andorra,2,Andorra,35611
Andorra,2,World,4442364760
Andorra,3,Andorra,53569
Andorra,3,World,5314138096
Andorra,4,Andorra,66097
Andorra,4,World,6146989606
Andorra,5,Andorra,71519
Andorra,5,World,6983713479
Andorra,6,Andorra,71746
Andorra,6,World,7424738015
Andorra,7,Andorra,77700
Andorra,7,World,7839172903
Angola,1,Angola,6029700
Angola,1,World,3688106961
Angola,2,Angola,8330047
Angola,2,World,4434070324
Angola,3,Angola,11828638
Angola,3,World,5302363027
Angola,4,Angola,16394062
Angola,4,World,6130661641
Angola,5,Angola,23364185
Angola,5,World,6960420813
Angola,6,Angola,28127721
Angola,6,World,7396682040
Angola,7,Angola,33428485
Angola,7,World,7805822118
Anguilla,1,Anguilla,6283
Anguilla,1,World,3694130378
Anguilla,2,Anguilla,6560
Anguilla,2,World,4442393811
Anguilla,3,Anguilla,8316
Anguilla,3,World,5314183349
Anguilla,4,Anguilla,11047
Anguilla,4,World,6147044656
Anguilla,5,Anguilla,13172
Anguilla,5,World,6983771826
Anguilla,6,Anguilla,14525
Anguilla,6,World,7424795236
Anguilla,7,Anguilla,15585
Anguilla,7,World,7839235018
Antigua and Barbuda,1,Antigua and Barbuda,64516
Antigua and Barbuda,1,World,3694072145
Antigua and Barbuda,2,Antigua and Barbuda,64888
Antigua and Barbuda,2,World,4442335483
Antigua and Barbuda,3,Antigua and Barbuda,63328
Antigua and Barbuda,3,World,5314128337
Antigua and Barbuda,4,Antigua and Barbuda,75055
Antigua and Barbuda,4,World,6146980648
Antigua and Barbuda,5,Antigua and Barbuda,85695
Antigua and Barbuda,5,World,6983699303
Antigua and Barbuda,6,Antigua and Barbuda,89941
Antigua and Barbuda,6,World,7424719820
Antigua and Barbuda,7,Antigua and Barbuda,92664
Antigua and Barbuda,7,World,7839157939
Argentina,1,Argentina,23842803
Argentina,1,World,3670293858
Argentina,2,Argentina,28024803
Argentina,2,World,4414375568
Argentina,3,Argentina,32637657
Argentina,3,World,5281554008
Argentina,4,Argentina,37070774
Argentina,4,World,6109984929
Argentina,5,Argentina,41100123
Argentina,5,World,6942684875
Argentina,6,Argentina,43257065
Argentina,6,World,7381552696
Argentina,7,Argentina,45036032
Argentina,7,World,7794214571
Armenia,1,Armenia,2534377
Armenia,1,World,3691602284
Armenia,2,Armenia,3135123
Armenia,2,World,4439265248
Armenia,3,Armenia,3556539
Armenia,3,World,5310635126
Armenia,4,Armenia,3168523
Armenia,4,World,6143887180
Armenia,5,Armenia,2946293
Armenia,5,World,6980838705
Armenia,6,Armenia,2878595
Armenia,6,World,7421931166
Armenia,7,Armenia,2805608
Armenia,7,World,7836444995
Aruba,1,Aruba,59106
Aruba,1,World,3694077555
Aruba,2,Aruba,62267
Aruba,2,World,4442338104
Aruba,3,Aruba,65712
Aruba,3,World,5314125953
Aruba,4,Aruba,89101
Aruba,4,World,6146966602
Aruba,5,Aruba,100341
Aruba,5,World,6983684657
Aruba,6,Aruba,104257
Aruba,6,World,7424705504
Aruba,7,Aruba,106585
Aruba,7,World,7839144018
Australia,1,Australia,12595034
Australia,1,World,3681541627
Australia,2,Australia,14706322
Australia,2,World,4427694049
Australia,3,Australia,17048003
Australia,3,World,5297143662
Australia,4,Australia,19017963
Australia,4,World,6128037740
Australia,5,Australia,22019168
Australia,5,World,6961765830
Australia,6,Australia,23820236
Australia,6,World,7400989525
Australia,7,Australia,25670051
Australia,7,World,7813580552
Austria,1,Austria,7465301
Austria,1,World,3686671360
Austria,2,Austria,7547561
Austria,2,World,4434852810
Austria,3,Austria,7678729
Austria,3,World,5306512936
Austria,4,Austria,8010428
Austria,4,World,6139045275
Austria,5,Austria,8362829
Austria,5,World,6975422169
Austria,6,Austria,8642421
Austria,6,World,7416167340
Austria,7,Austria,8907777
Austria,7,World,7830342826
Azerbaijan,1,Azerbaijan,5425317
Azerbaijan,1,World,3688711344
Azerbaijan,2,Azerbaijan,6383060
Azerbaijan,2,World,4436017311
Azerbaijan,3,Azerbaijan,7427836
Azerbaijan,3,World,5306763829
Azerbaijan,4,Azerbaijan,8190337
Azerbaijan,4,World,6138865366
Azerbaijan,5,Azerbaijan,9237202
Azerbaijan,5,World,6974547796
Azerbaijan,6,Azerbaijan,9863480
Azerbaijan,6,World,7414946281
Azerbaijan,7,Azerbaijan,10284951
Azerbaijan,7,World,7828965652
Bahamas,1,Bahamas,179129
Bahamas,1,World,3693957532
Bahamas,2,Bahamas,223752
Bahamas,2,World,4442176619
Bahamas,3,Bahamas,270679
Bahamas,3,World,5313920986
Bahamas,4,Bahamas,325014
Bahamas,4,World,6146730689
Bahamas,5,Bahamas,373272
Bahamas,5,World,6983411726
Bahamas,6,Bahamas,392697
Bahamas,6,World,7424417064
Bahamas,7,Bahamas,406471
Bahamas,7,World,7838844132
Bahrain,1,Bahrain,222555
Bahrain,1,World,3693914106
Bahrain,2,Bahrain,362595
Bahrain,2,World,4442037776
Bahrain,3,Bahrain,517418
Bahrain,3,World,5313674247
Bahrain,4,Bahrain,711442
Bahrain,4,World,6146344261
Bahrain,5,Bahrain,1213645
Bahrain,5,World,6982571353
Bahrain,6,Bahrain,1362142
Bahrain,6,World,7423447619
